X,Y,facies,porosity,perm,ai,% porosity,perm-por ratio,porosity type,perm cutoff,kozeny carmen
1415,705,1,0.177,16.227999999999998,3.214,17.7,91.68361581920904,high,16.227999999999998,0.081869121209929
2255,35,1,0.177,23.666,3.92,17.7,133.70621468926555,high,23.666,0.081869121209929
2315,3125,2,0.1769,4.867,2.985,17.69,27.51271905031091,high,4.867,0.08171058039942254
1835,35,1,0.1766,7.122999999999999,3.9789999999999996,17.66,40.334088335220834,high,7.122999999999999,0.08123634445446166
2865,2215,1,0.1763,3.003,2.048,17.630000000000003,17.033465683494043,high,3.003,0.08076418314251047
1775,1175,1,0.17600000000000002,10.832,3.734,17.6,61.54545454545455,high,10.832,0.08029408992364977
2685,3435,2,0.1742,3.655,2.9789999999999996,17.419999999999998,20.981630309988518,high,3.655,0.07751659630817494
725,585,1,0.1742,7.771,3.807,17.419999999999998,44.60964408725603,high,7.771,0.07751659630817494
2485,3525,1,0.1729,146.319,2.3409999999999997,17.29,846.2637362637362,high,146.319,0.07555599656193654
2265,55,1,0.1717,5.692,3.9130000000000003,17.169999999999998,33.15084449621433,high,5.692,0.07377947537643846
3365,135,1,0.1714,15.612,3.227,17.14,91.08518086347725,high,15.612,0.07334028526054055
935,2515,1,0.1712,54.898,2.7460000000000004,17.119999999999997,320.6658878504673,high,54.898,0.07304858305630506
2825,2255,2,0.1682,8.78,2.166,16.82,52.199762187871585,high,8.78,0.06877651129099421
2825,2055,2,0.168,12.08,2.03,16.8,71.9047619047619,high,12.08,0.0684985207100592
2915,2805,2,0.1677,3.615,2.405,16.77,21.55635062611807,high,3.615,0.06808311198833807
3475,1035,1,0.1677,9.914,2.742,16.77,59.11747167561121,high,9.914,0.06808311198833807
55,1545,1,0.1674,5.212999999999999,2.251,16.74,31.140979689366784,high,5.212999999999999,0.06766959042141085
3355,2305,1,0.1663,4.667,2.0540000000000003,16.63,28.063740228502706,high,4.667,0.0661693920813741
2475,1865,2,0.1658,9.212,2.678,16.580000000000002,55.56091676718938,high,9.212,0.06549576326499126
165,2895,1,0.1653,15.527999999999999,2.7889999999999997,16.53,93.93829401088928,high,15.527999999999999,0.06482727010343506
405,1985,1,0.165,6.308,2.589,16.5,38.23030303030303,high,6.308,0.06442862777439134
2225,705,1,0.1648,3.656,3.572,16.48,22.184466019417478,high,3.656,0.06416388485195462
3475,1855,1,0.1645,14.927,2.84,16.45,90.74164133738601,high,14.927,0.06376829399754534
1965,3265,2,0.1644,14.558,2.7689999999999997,16.439999999999998,88.55231143552312,high,14.558,0.06363683577223327
1495,3465,2,0.16399999999999998,14.837,3.3939999999999997,16.4,90.46951219512196,high,14.837,0.06311302396923145
1895,3475,2,0.16399999999999998,21.14,2.383,16.4,128.90243902439028,high,21.14,0.06311302396923145
2475,785,1,0.1634,9.542,2.945,16.34,58.39657282741738,high,9.542,0.06233334543030716
865,1605,1,0.1628,19.452,2.015,16.28,119.48402948402949,high,19.452,0.061560871916467176
3575,2655,1,0.1621,9.048,2.157,16.21,55.81739666872301,high,9.048,0.06066869645997648
2565,1695,2,0.1611,6.744,2.957,16.11,41.86219739292365,high,6.744,0.05941091382020124
2035,2395,2,0.161,5.438,3.984,16.1,33.77639751552795,high,5.438,0.059286212515324885
995,635,1,0.1606,13.401,3.46,16.06,83.44333748443337,high,13.401,0.05878935468445896
2125,1515,2,0.1597,5.218999999999999,3.7960000000000003,15.97,32.68002504696305,high,5.218999999999999,0.05768275854343233
3165,1865,1,0.1595,5.768,2.146,15.950000000000001,36.16300940438871,high,5.768,0.0574389677683286
1215,1915,1,0.1594,0.9790000000000001,3.614,15.939999999999998,6.141781681304894,high,0.9790000000000001,0.05731736012860079
2855,1805,2,0.1591,14.714,2.1919999999999997,15.909999999999998,92.48271527341295,high,14.714,0.056953685664384995
1975,3505,2,0.1591,5.24,2.3080000000000003,15.909999999999998,32.93526084223759,high,5.24,0.056953685664384995
3295,3505,2,0.1585,2.675,2.9539999999999997,15.85,16.876971608832807,high,2.675,0.056231485806299684
375,405,1,0.1584,7.227,3.213,15.840000000000002,45.625,high,7.227,0.056111784180774636
3745,2875,1,0.1579,9.802,2.205,15.790000000000001,62.07726409119695,high,9.802,0.05551611354218039
415,185,1,0.1577,29.165,2.267,15.770000000000001,184.93975903614455,high,29.165,0.05527916554358541
1975,1415,1,0.1576,3.005,3.761,15.76,19.06725888324873,high,3.005,0.05516097362124584
2755,1655,2,0.1574,5.232,2.6189999999999998,15.740000000000002,33.24015247776366,high,5.232,0.05492515288853368
2585,1185,1,0.1566,6.275,2.864,15.659999999999998,40.07024265644956,high,6.275,0.05398934763246136
1465,705,1,0.1563,10.279000000000002,3.2430000000000003,15.629999999999999,65.76455534229048,high,10.279000000000002,0.05364149038234132
3695,2325,1,0.1548,6.412000000000001,2.298,15.479999999999999,41.42118863049096,high,6.412000000000001,0.05192707887014982
1755,805,1,0.1541,2.403,3.1210000000000004,15.409999999999998,15.593770279039585,high,2.403,0.05114107658449347
505,475,1,0.1524,131.47799999999998,3.76,15.24,862.7165354330707,high,131.47799999999998,0.0492689157471191
3415,3805,2,0.1523,3.9419999999999997,3.49,15.229999999999999,25.883125410374262,high,3.9419999999999997,0.04916039272954321
425,2755,1,0.1523,3.83,2.112,15.229999999999999,25.14773473407748,high,3.83,0.04916039272954321
2925,1355,1,0.152,5.74,2.553,15.2,37.76315789473684,high,5.74,0.04883588465646137
1785,1045,1,0.1517,2.766,3.562,15.17,18.23335530652604,high,2.766,0.04851296386589184
1915,3805,1,0.1513,6.386,2.072,15.129999999999999,42.20753469927297,high,6.386,0.04808486263391431
3115,55,1,0.1505,2.648,2.9539999999999997,15.049999999999999,17.59468438538206,high,2.648,0.0472370462699902
3455,1645,1,0.1505,0.99,2.992,15.049999999999999,6.578073089700997,high,0.99,0.0472370462699902
3335,2465,1,0.1505,3.988,2.346,15.049999999999999,26.498338870431894,high,3.988,0.0472370462699902
2215,2585,2,0.1503,55.678000000000004,3.8810000000000002,15.03,370.4457751164339,high,55.678000000000004,0.04702683006355391
1175,2855,1,0.15,2.499,2.544,15.0,16.66,high,2.499,0.04671280276816609
2585,2535,2,0.1498,2.279,2.911,14.979999999999999,15.213618157543392,high,2.279,0.04650431362379979
2085,1215,2,0.1495,3.227,3.801,14.95,21.585284280936456,high,3.227,0.04619286956768176
3885,2055,1,0.1491,12.667,3.3169999999999997,14.91,84.95640509725015,high,12.667,0.04578000998327682
1635,1465,1,0.1487,2.697,3.9219999999999997,14.87,18.13718897108272,high,2.697,0.04536988085565448
1265,2735,2,0.1481,0.1702,2.8139999999999996,14.81,1.1492234976367317,high,0.1702,0.044759779569806625
185,2645,2,0.1478,3.4930000000000003,3.116,14.78,23.63328822733424,high,3.4930000000000003,0.044457009181641804
3405,1035,1,0.1474,2.522,2.84,14.74,17.10990502035278,high,2.522,0.04405566833170373
555,625,1,0.1473,0.6985,3.9330000000000003,14.729999999999999,4.742023082145282,high,0.6985,0.043955752014974495
665,705,1,0.147,0.976,3.826,14.7,6.639455782312925,high,0.976,0.04365700534215492
1305,1325,1,0.1467,0.7983,3.135,14.67,5.441717791411043,high,0.7983,0.0433597580616043
3005,315,1,0.1455,3.509,2.667,14.549999999999999,24.116838487972508,high,3.509,0.04218565978276983
2235,2565,2,0.1453,15.9,3.89,14.530000000000001,109.42876806607019,high,15.9,0.04199227800596703
3775,3465,2,0.1438,2.238,3.028,14.38,15.56328233657858,high,2.238,0.040562639817916364
175,3555,1,0.1435,13.415999999999999,3.53,14.35,93.49128919860627,high,13.415999999999999,0.04028106724137283
3035,745,1,0.1435,1.504,2.221,14.35,10.480836236933799,high,1.504,0.04028106724137283
25,2695,1,0.1428,3.5380000000000003,3.5269999999999997,14.280000000000001,24.77591036414566,high,3.5380000000000003,0.0396296555497949
2915,1615,1,0.1428,31.099,2.471,14.280000000000001,217.7801120448179,high,31.099,0.0396296555497949
1975,1445,1,0.1428,11.283,3.697,14.280000000000001,79.0126050420168,high,11.283,0.0396296555497949
2965,2605,2,0.1418,18.743,2.583,14.180000000000001,132.17912552891394,high,18.743,0.038712540449704215
2195,555,1,0.1417,3.185,3.7960000000000003,14.17,22.477064220183486,high,3.185,0.038621694630071444
3705,3455,2,0.1416,1.6869999999999998,2.81,14.16,11.913841807909604,high,1.6869999999999998,0.038531005472805774
2055,385,1,0.1415,1.058,3.878,14.149999999999999,7.477031802120142,high,1.058,0.038440472794410194
3505,2775,2,0.1414,0.9840000000000001,2.359,14.14,6.9589816124469595,high,0.9840000000000001,0.038350096411533266
1795,1085,1,0.141,2.7889999999999997,3.609,14.099999999999998,19.78014184397163,high,2.7889999999999997,0.037990150173266415
2325,3995,1,0.1396,1.2429999999999999,2.131,13.96,8.904011461318051,high,1.2429999999999999,0.03674983990018157
1395,215,1,0.1394,3.722,3.5010000000000003,13.94,26.700143472022955,high,3.722,0.036575109734605704
725,2595,1,0.1394,2.766,2.481,13.94,19.842180774748925,high,2.766,0.036575109734605704
2615,1025,1,0.1388,1.4909999999999999,2.383,13.88,10.742074927953889,high,1.4909999999999999,0.03605457296217012
425,1505,1,0.1384,0.1845,2.046,13.84,1.333092485549133,high,0.1845,0.03571057883715296
2635,2435,2,0.1377,23.883000000000003,2.625,13.77,173.442265795207,high,23.883000000000003,0.035114383550009697
2345,1835,2,0.1377,6.656000000000001,3.042,13.77,48.3369644153958,high,6.656000000000001,0.035114383550009697
455,2425,1,0.1376,9.587,2.7769999999999997,13.76,69.67296511627907,high,9.587,0.035029811958515907
1005,805,1,0.1372,2.9739999999999998,2.943,13.719999999999999,21.676384839650147,high,2.9739999999999998,0.034693016387008765
395,1235,1,0.13699999999999998,5.716,2.801,13.699999999999998,41.72262773722628,high,5.716,0.034525510594560174
2125,1105,1,0.1369,3.693,3.627,13.69,26.975894813732655,high,3.693,0.03444198007680092
1825,505,1,0.1367,2.73,3.6919999999999997,13.669999999999998,19.970738844184346,high,2.73,0.03427536291427318
3555,1025,1,0.1367,1.4080000000000001,2.972,13.669999999999998,10.299926847110463,high,1.4080000000000001,0.03427536291427318
365,1365,1,0.1367,5.1,2.4530000000000003,13.669999999999998,37.30797366495977,high,5.1,0.03427536291427318
1195,3695,2,0.1367,9.578,3.377,13.669999999999998,70.06583760058523,high,9.578,0.03427536291427318
2375,595,1,0.1359,1.038,3.574,13.59,7.637969094922738,high,1.038,0.03361478670844708
1965,1215,1,0.1356,12.144,3.735,13.56,89.5575221238938,high,12.144,0.033369488691564586
3325,3065,2,0.1352,3.213,2.267,13.52,23.764792899408288,high,3.213,0.033044464088738186
195,2385,1,0.1347,0.5062,3.217,13.469999999999999,3.757980697847068,high,0.5062,0.03264144526336094
155,3735,1,0.1347,0.2424,3.911,13.469999999999999,1.7995545657015593,high,0.2424,0.03264144526336094
795,2495,1,0.1336,16.908,2.718,13.36,126.55688622754492,high,16.908,0.03176745966583367
3375,1565,1,0.1336,1.73,2.944,13.36,12.949101796407186,high,1.73,0.03176745966583367
2965,595,2,0.1328,1.521,2.537,13.28,11.453313253012047,high,1.521,0.031142658732860398
1895,2325,2,0.1325,0.4642,3.7710000000000004,13.25,3.503396226415094,high,0.4642,0.0309106877392886
2205,355,1,0.1322,0.3612,3.8680000000000003,13.22,2.7322239031770046,high,0.3612,0.030679980119956953
375,1705,1,0.1321,2.404,2.0869999999999997,13.209999999999999,18.198334595003786,high,2.404,0.03060335753418308
3595,925,1,0.132,2.575,3.39,13.200000000000001,19.507575757575758,high,2.575,0.030526874641636052
285,3835,1,0.132,0.607,3.8510000000000004,13.200000000000001,4.598484848484848,high,0.607,0.030526874641636052
375,2875,1,0.1319,2.0540000000000003,2.239,13.19,15.572403335860503,high,2.0540000000000003,0.030450531272252838
945,1205,1,0.1305,1.226,2.072,13.05,9.39463601532567,high,1.226,0.029396279117138508
245,3765,1,0.1296,9.092,3.801,12.959999999999999,70.15432098765433,high,9.092,0.02873275302768165
1005,1275,1,0.1292,0.8418,2.2640000000000002,12.920000000000002,6.51547987616099,high,0.8418,0.02844138231382544
2805,1055,1,0.1277,9.009,2.5469999999999997,12.770000000000001,70.54815974941269,high,9.009,0.02736786676074559
165,2515,1,0.1258,3.523,3.173,12.58,28.004769475357712,high,3.523,0.026050755271702215
2495,285,2,0.1254,2.021,3.7569999999999997,12.540000000000001,16.116427432216902,high,2.021,0.025779450946547506
3375,2525,1,0.1239,1.4680000000000002,2.3369999999999997,12.389999999999999,11.848264729620663,high,1.4680000000000002,0.024780299922919802
2005,3775,1,0.1231,1.9609999999999999,2.083,12.31,15.930138099106417,high,1.9609999999999999,0.024259062793137807
3385,905,1,0.1227,1.9980000000000002,2.81,12.27,16.283618581907092,high,1.9980000000000002,0.024001447232305777
1455,365,1,0.122,4.784,3.41,12.2,39.21311475409836,high,4.784,0.023555398737034362
805,155,1,0.1211,0.3441,3.0860000000000003,12.11,2.8414533443435177,high,0.3441,0.02299076913768065
1365,2715,1,0.1191,0.2666,2.7880000000000003,11.91,2.2384550797649037,low,0.0001,0.0001
2765,925,1,0.11900000000000001,0.7731,2.323,11.9,6.496638655462185,low,0.0001,0.0001
565,1485,1,0.1184,6.17,2.009,11.84,52.111486486486484,low,0.0001,0.0001
2255,1045,1,0.1162,0.2283,3.295,11.62,1.9647160068846816,low,0.0001,0.0001
855,225,1,0.1147,1.432,3.0810000000000004,11.469999999999999,12.484742807323453,low,0.0001,0.0001
415,3395,1,0.1146,1.097,3.114,11.459999999999999,9.572425828970331,low,0.0001,0.0001
3955,235,1,0.1139,0.1293,3.815,11.39,1.1352063213345038,low,0.0001,0.0001
3765,1925,1,0.1105,0.2586,3.57,11.05,2.34027149321267,low,0.0001,0.0001
3135,2295,2,0.1104,0.4525,2.162,11.04,4.098731884057972,low,0.0001,0.0001
1755,85,2,0.1097,0.7976,3.943,10.97,7.270738377392889,low,0.0001,0.0001
565,195,1,0.1095,0.2627,2.86,10.95,2.3990867579908675,low,0.0001,0.0001
2725,3765,2,0.1079,0.4611,3.188,10.79,4.273401297497683,low,0.0001,0.0001
3625,685,1,0.1065,0.3297,3.6039999999999996,10.65,3.095774647887324,low,0.0001,0.0001
3845,1025,1,0.1062,0.08598,3.841,10.620000000000001,0.8096045197740113,low,0.0001,0.0001
3925,375,1,0.1061,0.03973,3.767,10.61,0.3744580584354383,low,0.0001,0.0001
1045,255,1,0.1061,0.17300000000000001,3.275,10.61,1.630537229029218,low,0.0001,0.0001
375,2055,1,0.1032,0.295,2.83,10.32,2.8585271317829455,low,0.0001,0.0001
1145,1245,1,0.1026,0.08757999999999999,2.533,10.26,0.853606237816764,low,0.0001,0.0001
2375,1835,2,0.1021,1.518,3.1260000000000003,10.209999999999999,14.86777668952008,low,0.0001,0.0001
545,2815,1,0.0991,0.0931,2.234,9.91,0.939455095862765,low,0.0001,0.0001
35,515,1,0.0964,0.4258,3.222,9.64,4.41701244813278,low,0.0001,0.0001
1035,85,1,0.0964,0.1081,3.282,9.64,1.1213692946058091,low,0.0001,0.0001
3365,1605,1,0.0938,1.5390000000000001,3.017,9.379999999999999,16.40724946695096,low,0.0001,0.0001
1135,1895,1,0.0915,0.0932,3.44,9.15,1.0185792349726777,low,0.0001,0.0001
385,1175,1,0.08678,0.5046,3.1439999999999997,8.677999999999999,5.8147038488130915,low,0.0001,0.0001
3685,515,1,0.08494,0.06072999999999999,3.872,8.494,0.7149752766658817,low,0.0001,0.0001
415,1125,1,0.08245,0.03486,3.283,8.245,0.4228016979987872,low,0.0001,0.0001
2725,3835,2,0.08209,0.7594,3.145,8.209,9.250822268242173,low,0.0001,0.0001
3345,565,1,0.08187,0.3709,3.008,8.187,4.530352998656407,low,0.0001,0.0001
275,675,1,0.08012000000000001,0.05744,3.9019999999999997,8.012,0.7169246130803794,low,0.0001,0.0001
1745,255,2,0.0784,1.015,3.949,7.84,12.946428571428571,low,0.0001,0.0001
3835,1095,1,0.07338,0.02198,3.775,7.338,0.2995366584900518,low,0.0001,0.0001
2365,355,1,0.06726,0.1517,3.833,6.726,2.255426702349093,low,0.0001,0.0001
3795,535,1,0.06092,0.015819999999999997,3.907,6.0920000000000005,0.25968483256730135,low,0.0001,0.0001
3745,115,1,0.05,0.01653,3.5269999999999997,5.0,0.33059999999999995,low,0.0001,0.0001
